Campaign,Sitelink Text,Description 1,Description 2,Final URL,Tipo
[011-SEARCH]-BIQUINI,Biquíni Fio Dental,Cortininha com regulagens,Marca de sol menor,https://usezerohora.com.br/produtos/biquini-fio-dental-marquinha-cortininha-com-regulagens/,Produto
[011-SEARCH]-BIQUINI,Biquíni Esportivo,Fica no lugar no surf,"Futevôlei, piscina e mar",https://usezerohora.com.br/produtos/biquini-sunkini-hot-pant-top-faixa-surf-piscina-futevolei/,Produto
[011-SEARCH]-BIQUINI,Biquíni Cortininha,Sem bojo e alcinha regulável,Modelos que valorizam,https://usezerohora.com.br/search/?q=cortininha,Busca
[011-SEARCH]-BIQUINI,Empina Bumbum,Modelagem que levanta,Cortininha sem bojo,https://usezerohora.com.br/search/?q=empina+bumbum,Busca
[011-SEARCH]-BIQUINI,Maiôs,Body e proteção UV50,Para nadar e surfar,https://usezerohora.com.br/feminino/maio/,Categoria
[011-SEARCH]-BIQUINI,Saída de Praia,Conjunto atoalhado,Completa o look de praia,https://usezerohora.com.br/feminino/saida-de-praia/conjunto-atoalhado/,Categoria
[012-SEARCH]-HOT-PANT,Hot Pant Top Nadador,Recorte esportivo,Liberdade de braço na água,https://usezerohora.com.br/produtos/maio-biquini-hot-pant-top-nadador-esporte-protecao-uv50/,Produto
[012-SEARCH]-HOT-PANT,Hot Pant Fitness,Do treino à praia,Proteção UV50,https://usezerohora.com.br/produtos/maio-biquini-hot-pant-top-alcas-esporte-protecao-uv50/,Produto
[012-SEARCH]-HOT-PANT,Hot Pant Surf,Fica no lugar na onda,"Futevôlei, piscina e mar",https://usezerohora.com.br/produtos/biquini-sunkini-hot-pant-top-faixa-surf-piscina-futevolei/,Produto
[012-SEARCH]-HOT-PANT,Manga 3/4 e Longa,Cobre e protege do sol,Feito para surfar,https://usezerohora.com.br/search/?q=hot+pant+manga,Busca
[012-SEARCH]-HOT-PANT,Maiôs,Body e proteção UV50,Para nadar e surfar,https://usezerohora.com.br/feminino/maio/,Categoria
[012-SEARCH]-HOT-PANT,Saída de Praia,Conjunto atoalhado,Completa o look de praia,https://usezerohora.com.br/feminino/saida-de-praia/conjunto-atoalhado/,Categoria
