Campaign,Ad Group,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Headline 1 position,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Ad Status
[007-SEARCH]-NEOPRENE,[007-A]-SAPATILHA-AQUATICA-COMPRA,Responsive search ad,Sapatilha Aquática,Sapatilha Para Praia e Mar,Sapatilha Náutica,Tênis Aquático de Neoprene,Solado Antiderrapante,Aderência da Areia à Pedra,Isolamento Térmico,Secagem Rápida,Leve e Confortável,Numeração do 34 ao 44,3 Tecidos Técnicos,"Para Surf, SUP e Piscina",Use Zero Hora,Compre Direto da Marca,Marca Brasileira de Surf,,Sapatilha de neoprene com solado antiderrapante e isolamento térmico. Do 34 ao 44.,"Três tecidos técnicos: solado de alta aderência, neoprene 1,5mm e punho elástico.","Secagem rápida e leveza para praia, pedras, surf e esportes na água. Use Zero Hora.",Proteção e aderência da areia ao costão. Compre direto da marca brasileira de surf.,neoprene,sapatilha,https://usezerohora.com.br/produtos/sapatilha-esportiva-neoprene-xlgci/,Enabled
[007-SEARCH]-NEOPRENE,[007-B]-SAPATILHA-NEOPRENE-COMPRA,Responsive search ad,Sapatilha de Neoprene,Meia de Neoprene,Bota de Surf em Neoprene,"Neoprene Nylon 1,5mm",Punho Elástico Duplo,Solado Antiderrapante,Isolamento Térmico,Secagem Rápida,Aderência e Segurança,Numeração do 34 ao 44,Proteção Dentro da Água,Leve e Flexível,Use Zero Hora,Compre Direto da Marca,Feita Para o Surf,,Sapatilha de neoprene com solado antiderrapante e isolamento térmico. Do 34 ao 44.,"Três tecidos técnicos: solado de alta aderência, neoprene 1,5mm e punho elástico.","Secagem rápida e leveza para praia, pedras, surf e esportes na água. Use Zero Hora.",Proteção e aderência da areia ao costão. Compre direto da marca brasileira de surf.,neoprene,sapatilha,https://usezerohora.com.br/produtos/sapatilha-esportiva-neoprene-xlgci/,Enabled
[007-SEARCH]-NEOPRENE,[007-C]-SAPATILHA-AREIA-COMPRA,Responsive search ad,Sapatilha Para Beach Tennis,Sapatilha Para Futevôlei,Jogue na Areia Quente,Proteja os Pés na Areia,Solado Antiderrapante,Leve e Confortável,Secagem Rápida,Sapatilha Esportiva,Numeração do 34 ao 44,Sapatilha de Neoprene,Aderência e Estabilidade,Do Jogo Para o Mar,Use Zero Hora,Compre Direto da Marca,Marca Brasileira de Surf,,Sapatilha de neoprene com solado antiderrapante e isolamento térmico. Do 34 ao 44.,"Três tecidos técnicos: solado de alta aderência, neoprene 1,5mm e punho elástico.","Secagem rápida e leveza para beach tennis, futevôlei e areia quente.",Proteção e aderência para jogar na areia. Compre direto da marca brasileira.,neoprene,beach-tennis,https://usezerohora.com.br/produtos/sapatilha-esportiva-neoprene-xlgci/,Enabled
[007-SEARCH]-NEOPRENE,[007-D]-CAMISETA-COMPRA,Responsive search ad,Camiseta de Neoprene,Camisa de Neoprene,"Neoprene Span/Flex 1,5mm",Mangas com Proteção UV50,Conforto Térmico no Mar,Elasticidade 360°,Camisa Térmica Para Surf,Enfrente a Água Fria,Resistente a Cloro e Sal,Toque Macio na Pele,Camiseta Cabo Frio,Leve e Flexível,Use Zero Hora,Compre Direto da Marca,Feita Para o Surf,,"Camiseta em neoprene Span/Flex 1,5mm com mangas de poliamida UV50. Térmica no mar.",Elasticidade 360° para remar e surfar sem limitar o movimento. Resiste a cloro e sal.,Enfrente a água fria com conforto térmico e toque macio na pele. Compre da marca.,"Feita para o surf: leve, flexível e durável. Use Zero Hora, marca brasileira de surf.",neoprene,camiseta,https://usezerohora.com.br/produtos/camiseta-neoprene-cabo-frio-17xyv/,Enabled
[007-SEARCH]-NEOPRENE,[007-E]-BERMUDA-NEOPRENE-COMPRA,Responsive search ad,Bermuda de Neoprene,Bermuda Neoprene Joaquina,Cordão Interno no Cós,Ajuste Firme Sem Apertar,Fica no Lugar na Manobra,Resiste à Água Salgada,Visual Clean,Feita Para o Surf,Etiqueta Emborrachada,Do Mar Para o Dia a Dia,Conforto Dentro da Água,Não Descasca Nem Racha,Use Zero Hora,Compre Direto da Marca,Marca Brasileira de Surf,,Bermuda de neoprene com cordão interno no cós: ajuste firme sem apertar na água.,Fica no lugar em cada manobra. Etiqueta emborrachada resiste à água salgada e ao sol.,Visual clean do mar para o dia a dia. Feita para a rotina de quem vive o surf.,"Compre direto da Use Zero Hora, marca brasileira de surf e beachwear.",neoprene,bermuda,https://usezerohora.com.br/produtos/bermuda-neoprene-joaquina-7x5hp/,Enabled
[007-SEARCH]-NEOPRENE,[007-F]-BERMUDA-SURF-COMPRA,Responsive search ad,Bermuda de Surf,Bermuda Para Surfar,Bermuda de Neoprene,Firme em Cada Onda,Cordão Interno no Cós,Ajuste Sem Apertar,Resiste à Água Salgada,Feita Para o Surf,Conforto na Remada,Visual Clean,Do Mar Para o Dia a Dia,Etiqueta Emborrachada,Use Zero Hora,Compre Direto da Marca,Marca Brasileira de Surf,,Bermuda de neoprene com cordão interno no cós: ajuste firme sem apertar na água.,Fica no lugar em cada manobra. Etiqueta emborrachada resiste à água salgada e ao sol.,Visual clean do mar para o dia a dia. Feita para a rotina de quem vive o surf.,"Compre direto da Use Zero Hora, marca brasileira de surf e beachwear.",neoprene,bermuda,https://usezerohora.com.br/produtos/bermuda-neoprene-joaquina-7x5hp/,Enabled
[007-SEARCH]-NEOPRENE,[007-G]-BERMUDA-NATACAO-COMPRA,Responsive search ad,Bermuda Para Natação,Short Para Natação,Bermuda de Neoprene,Treine em Águas Abertas,Conforto Total no Treino,Cordão Interno no Cós,Ajuste Firme Sem Apertar,Fica no Lugar no Treino,Resistente ao Uso Intenso,Visual Clean,Etiqueta Emborrachada,Da Piscina ao Mar,Use Zero Hora,Compre Direto da Marca,Marca Brasileira de Surf,,Bermuda de neoprene com cordão interno no cós: ajuste firme sem apertar na água.,Conforto total para treinos na piscina e em águas abertas. Fica no lugar.,"Etiqueta emborrachada resistente à água salgada, ao sol e ao uso intenso.","Compre direto da Use Zero Hora, marca brasileira de surf e beachwear.",neoprene,natacao,https://usezerohora.com.br/produtos/bermuda-neoprene-joaquina-7x5hp/,Enabled
[007-SEARCH]-NEOPRENE,[007-H]-SURF-VESTUARIO-COMPRA,Responsive search ad,Roupa de Surf,Roupa Para Surfar,Camiseta de Neoprene,Camisa Térmica Para Surf,"Neoprene Span/Flex 1,5mm",Mangas com Proteção UV50,Conforto Térmico no Mar,Elasticidade 360°,Surfe na Água Fria,Bermuda e Camiseta de Surf,Feita Para o Surf,Resistente ao Sal,Use Zero Hora,Compre Direto da Marca,Marca Brasileira de Surf,,"Roupa de surf em neoprene: camiseta térmica 1,5mm com mangas UV50 e bermuda.",Elasticidade 360° para remar e surfar sem limitar o movimento. Resiste ao sal.,Enfrente a água fria com conforto térmico e toque macio na pele. Compre da marca.,"Feita para o surf: leve, flexível e durável. Use Zero Hora, marca brasileira de surf.",neoprene,surf,https://usezerohora.com.br/produtos/camiseta-neoprene-cabo-frio-17xyv/,Enabled
[007-SEARCH]-NEOPRENE,[007-I]-NATACAO-VESTUARIO-COMPRA,Responsive search ad,Roupa Para Natação,Roupa de Neoprene,Camisa Neoprene Natação,Conforto Térmico na Água,"Neoprene Span/Flex 1,5mm",Elasticidade 360°,Resistente ao Cloro,Treine em Águas Abertas,Camiseta Térmica,Toque Macio na Pele,Proteção UV50 nas Mangas,Nade Sem Sentir Frio,Use Zero Hora,Compre Direto da Marca,Marca Brasileira de Surf,,"Camisa de neoprene para natação: conforto térmico, elasticidade e resistência.","Treine na piscina ou em águas abertas sem sentir frio. Neoprene Span/Flex 1,5mm.","Resistente ao cloro, ao sal e ao uso intenso. Mantém cor e performance.","Compre direto da Use Zero Hora, marca brasileira de surf e beachwear.",neoprene,natacao,https://usezerohora.com.br/produtos/camiseta-neoprene-cabo-frio-17xyv/,Enabled
[007-SEARCH]-NEOPRENE,[007-J]-CATEGORIA-COMPRA,Responsive search ad,Roupa de Neoprene,Linha Neoprene Completa,"Camiseta, Bermuda, Sapatilha","Neoprene Span/Flex 1,5mm",Conforto Térmico no Mar,Elasticidade e Liberdade,Feita Para o Surf,Resistente à Água Salgada,Neoprene Para Surf e Mar,Secagem Rápida,Tecidos Técnicos,Do Mar Para o Dia a Dia,Use Zero Hora,Compre Direto da Marca,Marca Brasileira de Surf,,"Linha neoprene Use Zero Hora: camiseta, bermuda e sapatilha para o mar.","Tecidos técnicos com conforto térmico, elasticidade e resistência ao sal.",Feita para o surf e para esportes na água. Performance em cada detalhe.,"Compre direto da Use Zero Hora, marca brasileira de surf e beachwear.",neoprene,linha,https://usezerohora.com.br/produtos/camiseta-neoprene-cabo-frio-17xyv/,Enabled
